ride_id,rideable_type,started_at,ended_at,start_hour,trip length,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,start_loc,end_loc
816C504550626CA2,classic_bike,2022-12-27 19:08:52,2022-12-27 19:15:50,19,53:02,Clark St & Elm St,TA1307000039,St. Clair St & Erie St,13016,41.902973,-87.63128,41.8943451374243,-87.6227983832359,member,"41.902973,-87.63128","41.8943451374243,-87.6227983832359"
8BCEDA8C754B15F9,classic_bike,2022-12-15 19:19:24,2022-12-15 19:30:35,19,48:48,Clark St & Elm St,TA1307000039,St. Clair St & Erie St,13016,41.902973,-87.63128,41.8943451374243,-87.6227983832359,member,"41.902973,-87.63128","41.8943451374243,-87.6227983832359"
C4B4392A2B407AB1,classic_bike,2022-12-26 19:05:07,2022-12-26 19:11:51,19,53:16,Clark St & Elm St,TA1307000039,St. Clair St & Erie St,13016,41.902973,-87.63128,41.8943451374243,-87.6227983832359,member,"41.902973,-87.63128","41.8943451374243,-87.6227983832359"
B6A23C6CB023EC84,electric_bike,2022-12-01 08:37:48,2022-12-01 08:48:43,8,49:04,Clark St & Elm St,TA1307000039,Wacker Dr & Washington St,KA1503000072,41.9025508333333,-87.6318486666667,41.8831433643902,-87.6372420787811,member,"41.9025508333333,-87.6318486666667","41.8831433643902,-87.6372420787811"
657BFB1CB604E253,electric_bike,2022-12-13 05:38:30,2022-12-13 05:43:45,5,54:45,Clark St & Elm St,TA1307000039,St. Clair St & Erie St,13016,41.902682,-87.631563,41.8943451374243,-87.6227983832359,member,"41.902682,-87.631563","41.8943451374243,-87.6227983832359"
424149A172A9F404,electric_bike,2022-12-08 10:10:41,2022-12-08 10:20:24,10,50:17,Clark St & Elm St,TA1307000039,Wacker Dr & Washington St,KA1503000072,41.902915478,-87.631569147,41.8831433643902,-87.6372420787811,member,"41.902915478,-87.631569147","41.8831433643902,-87.6372420787811"
575848F0B30ADB53,electric_bike,2022-12-06 19:02:26,2022-12-06 19:09:49,19,52:37,Clinton St & Roosevelt Rd,WL-008,Wacker Dr & Washington St,KA1503000072,41.8670058333333,-87.640976,41.8831433643902,-87.6372420787811,member,"41.8670058333333,-87.640976","41.8831433643902,-87.6372420787811"
CA5937BC03E82FDE,classic_bike,2022-12-02 06:29:03,2022-12-02 06:36:51,6,52:12,Clark St & Elm St,TA1307000039,St. Clair St & Erie St,13016,41.902973,-87.63128,41.8943451374243,-87.6227983832359,member,"41.902973,-87.63128","41.8943451374243,-87.6227983832359"
7F3489ABBAC162B6,classic_bike,2022-12-06 16:09:19,2022-12-06 16:17:15,16,52:04,Clark St & Elm St,TA1307000039,St. Clair St & Erie St,13016,41.902973,-87.63128,41.8943451374243,-87.6227983832359,member,"41.902973,-87.63128","41.8943451374243,-87.6227983832359"
DC42DD0C477AF3CC,classic_bike,2022-12-28 13:33:22,2022-12-28 13:43:39,13,49:43,Clark St & Elm St,TA1307000039,St. Clair St & Erie St,13016,41.902973,-87.63128,41.8943451374243,-87.6227983832359,member,"41.902973,-87.63128","41.8943451374243,-87.6227983832359"
